### fixed_point ENERGY VALUES ###
DATA(@order=5),BASELINE,ACCELERATOR
20	0.468	0.135
50	1.113	0.276
100	2.279	0.539
200	4.558	1.078
500	11.766	2.646
1000	23.532	4.982
1500	35.457	7.392
2000	46.905	10.08
DATA(@order=10)	BASELINE	ACCELERATOR
20	0.848	0.138
50	2.268	0.343
100	4.536	0.6
200	9.666	1.224
500	23.922	3.009
1000	48.384	5.85
1500	72.576	8.568
2000	96.714	11.679
DATA(@order=20)	BASELINE	ACCELERATOR
20	3.068	0.23
50	12.921	0.45
100	25.32	0.78
200	43.26	1.512
500	97.26	3.564
1000	186.72	6.943
1500	284.22	10.098
2000	373.32	13.77
DATA(@order=50)	BASELINE	ACCELERATOR
20	7.383	0.5
50	26.53	0.812
100	69.509	1.323
200	126.877	2.345
500	282.651	5.382
1000	543.15	10.5
1500	830.558	16.046
2000	1090.631	20.519
DATA(@order=100)	BASELINE	ACCELERATOR
20	19.044	1.064
50	55.614	1.426
100	141.846	2.16
200	324.3	3.726
500	743.634	8.463
1000	1428.706	16.262
1500	2198.002	24.415
2000	2882.604	31.488
DATA(@order=200)	BASELINE	ACCELERATOR
20	50.148	2.516
50	134.418	3.024
100	310.7	4.1
200	735.67	6.732
500	2039.18	15.222
1000	3929.9	29.187
1500	6114.94	43.645
2000	8004.75	56.24
