### fixed_point ENERGY VALUES ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	0.468	0.135
10	0.848	0.138
20	3.068	0.23
50	7.383	0.5
100	19.044	1.064
200	50.148	2.516
ORDER(@data=50)	BASELINE	ACCELERATOR
5	1.113	0.276
10	2.268	0.343
20	12.921	0.45
50	26.53	0.812
100	55.614	1.426
200	134.418	3.024
ORDER(@data=100)	BASELINE	ACCELERATOR
5	2.279	0.539
10	4.536	0.6
20	25.32	0.78
50	69.509	1.323
100	141.846	2.16
200	310.7	4.1
ORDER(@data=200)	BASELINE	ACCELERATOR
5	4.558	1.078
10	9.666	1.224
20	43.26	1.512
50	126.877	2.345
100	324.3	3.726
200	735.67	6.732
ORDER(@data=500)	BASELINE	ACCELERATOR
5	11.766	2.646
10	23.922	3.009
20	97.26	3.564
50	282.651	5.382
100	743.634	8.463
200	2039.18	15.222
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	23.532	4.982
10	48.384	5.85
20	186.72	6.943
50	543.15	10.5
100	1428.706	16.262
200	3929.9	29.187
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	35.457	7.392
10	72.576	8.568
20	284.22	10.098
50	830.558	16.046
100	2198.002	24.415
200	6114.94	43.645
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	46.905	10.08
10	96.714	11.679
20	373.32	13.77
50	1090.631	20.519
100	2882.604	31.488
200	8004.75	56.24
