### signed ENERGY VALUES ###
DATA(@order=5),BASELINE,ACCELERATOR
20	0.198	0.132
50	0.441	0.252
100	0.903	0.473
200	1.892	1.034
500	4.884	2.43
1000	9.768	5.088
1500	14.718	7.392
2000	16.815	9.24
DATA(@order=10)	BASELINE	ACCELERATOR
20	0.4	0.132
50	1.008	0.308
100	2.016	0.54
200	4.296	1.152
500	10.632	2.832
1000	21.504	5.85
1500	32.256	8.4
2000	42.984	10.305
DATA(@order=20)	BASELINE	ACCELERATOR
20	1.56	0.225
50	6.57	0.414
100	12.238	0.72
200	20.909	1.4
500	47.009	3.366
1000	90.248	6.943
1500	137.373	9.911
2000	180.438	12.24
DATA(@order=50)	BASELINE	ACCELERATOR
20	3.852	0.49
50	13.644	0.742
100	35.244	1.197
200	64.332	2.17
500	143.316	5.148
1000	275.4	10.2
1500	421.128	15.594
2000	552.996	17.629
DATA(@order=100)	BASELINE	ACCELERATOR
20	10.971	1.083
50	31.694	1.38
100	79.977	2.04
200	182.85	3.588
500	419.283	8.184
1000	805.547	16.089
1500	1239.299	24.415
2000	1625.298	26.896
DATA(@order=200)	BASELINE	ACCELERATOR
20	30.646	2.516
50	80.234	2.982
100	184.03	3.9
200	435.743	6.336
500	1207.822	14.396
1000	2327.71	28.359
1500	3621.926	42.742
2000	4741.275	47.12
