### signed ENERGY VALUES ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	0.198	0.132
10	0.4	0.132
20	1.56	0.225
50	3.852	0.49
100	10.971	1.083
200	30.646	2.516
ORDER(@data=50)	BASELINE	ACCELERATOR
5	0.441	0.252
10	1.008	0.308
20	6.57	0.414
50	13.644	0.742
100	31.694	1.38
200	80.234	2.982
ORDER(@data=100)	BASELINE	ACCELERATOR
5	0.903	0.473
10	2.016	0.54
20	12.238	0.72
50	35.244	1.197
100	79.977	2.04
200	184.03	3.9
ORDER(@data=200)	BASELINE	ACCELERATOR
5	1.892	1.034
10	4.296	1.152
20	20.909	1.4
50	64.332	2.17
100	182.85	3.588
200	435.743	6.336
ORDER(@data=500)	BASELINE	ACCELERATOR
5	4.884	2.43
10	10.632	2.832
20	47.009	3.366
50	143.316	5.148
100	419.283	8.184
200	1207.822	14.396
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	9.768	5.088
10	21.504	5.85
20	90.248	6.943
50	275.4	10.2
100	805.547	16.089
200	2327.71	28.359
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	14.718	7.392
10	32.256	8.4
20	137.373	9.911
50	421.128	15.594
100	1239.299	24.415
200	3621.926	42.742
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	16.815	9.24
10	42.984	10.305
20	180.438	12.24
50	552.996	17.629
100	1625.298	26.896
200	4741.275	47.12
