### unsigned ENERGY VALUES ###
DATA(@order=5),BASELINE,ACCELERATOR
20	0.18	0.105
50	0.46	0.21
100	0.92	0.385
200	1.84	0.77
500	4.76	1.944
1000	9.52	3.816
1500	14.32	5.544
2000	18.94	7.35
DATA(@order=10)	BASELINE	ACCELERATOR
20	0.378	0.102
50	0.9	0.245
100	1.8	0.42
200	3.84	0.864
500	9.5	2.183
1000	19.2	4.212
1500	28.78	6.048
2000	38.36	8.244
DATA(@order=20)	BASELINE	ACCELERATOR
20	1.288	0.15
50	5.405	0.279
100	10.373	0.48
200	17.756	0.896
500	39.928	2.244
1000	76.636	4.323
1500	116.656	5.984
2000	153.226	8.415
DATA(@order=50)	BASELINE	ACCELERATOR
20	3.42	0.32
50	12.18	0.476
100	30.392	0.756
200	55.477	1.295
500	123.598	2.964
1000	237.539	5.7
1500	363.225	8.588
2000	476.963	10.982
DATA(@order=100)	BASELINE	ACCELERATOR
20	9.324	0.703
50	26.88	0.897
100	66.256	1.26
200	151.454	2.07
500	347.27	4.464
1000	667.234	8.304
1500	1026.476	12.593
2000	1346.194	16.072
DATA(@order=200)	BASELINE	ACCELERATOR
20	26.838	1.739
50	70.308	2.016
100	161.217	2.55
200	381.717	3.696
500	1058.085	7.434
1000	2039.058	13.662
1500	3172.869	20.167
2000	4153.464	25.84
