### unsigned ENERGY VALUES ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	0.18	0.105
10	0.378	0.102
20	1.288	0.15
50	3.42	0.32
100	9.324	0.703
200	26.838	1.739
ORDER(@data=50)	BASELINE	ACCELERATOR
5	0.46	0.21
10	0.9	0.245
20	5.405	0.279
50	12.18	0.476
100	26.88	0.897
200	70.308	2.016
ORDER(@data=100)	BASELINE	ACCELERATOR
5	0.92	0.385
10	1.8	0.42
20	10.373	0.48
50	30.392	0.756
100	66.256	1.26
200	161.217	2.55
ORDER(@data=200)	BASELINE	ACCELERATOR
5	1.84	0.77
10	3.84	0.864
20	17.756	0.896
50	55.477	1.295
100	151.454	2.07
200	381.717	3.696
ORDER(@data=500)	BASELINE	ACCELERATOR
5	4.76	1.944
10	9.5	2.183
20	39.928	2.244
50	123.598	2.964
100	347.27	4.464
200	1058.085	7.434
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	9.52	3.816
10	19.2	4.212
20	76.636	4.323
50	237.539	5.7
100	667.234	8.304
200	2039.058	13.662
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	14.32	5.544
10	28.78	6.048
20	116.656	5.984
50	363.225	8.588
100	1026.476	12.593
200	3172.869	20.167
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	18.94	7.35
10	38.36	8.244
20	153.226	8.415
50	476.963	10.982
100	1346.194	16.072
200	4153.464	25.84
