### UNSIGNED VALUES (NO OPTIMIZATION) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	39	8
10	69	10
20	116	15
50	239	26
100	437	46
200	844	94
500	2045	259
ORDER(@data=50)	BASELINE	ACCELERATOR
5	99	16
10	192	19
20	354	25
50	756	37
100	1256	58
200	2258	108
500	5263	275
ORDER(@data=100)	BASELINE	ACCELERATOR
5	208	30
10	390	33
20	739	42
50	1718	56
100	3107	78
200	5111	130
500	11122	302
ORDER(@data=200)	BASELINE	ACCELERATOR
5	417	58
10	786	63
20	1517	76
50	3619	92
100	7110	117
200	12392	175
500	24423	376
ORDER(@data=500)	BASELINE	ACCELERATOR
5	1052	142
10	1990	153
20	3841	180
50	9332	201
100	18452	251
200	35883	327
500	76343	538
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	2191	301
10	4135	322
20	7993	375
50	19415	410
100	38331	461
200	74620	583
500	175525	844
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	3238	445
10	6132	476
20	11918	552
50	29240	598
100	58175	663
200	115787	797
500	278893	1121
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	4341	598
10	8224	639
20	15989	741
50	39242	798
100	77722	880
200	154198	1044
500	378111	1416
