### fixed-point VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	66	8
50	180	16
100	363	31
200	731	59
500	1840	145
1000	3765	307
1500	5603	453
2000	7494	609
DATA(@order=10)	BASELINE	ACCELERATOR
20	115	9
50	337	18
100	693	32
200	1406	61
500	3561	148
1000	7292	313
1500	10875	462
2000	14545	620
DATA(@order=20)	BASELINE	ACCELERATOR
20	187	14
50	605	25
100	1316	42
200	2729	76
500	6958	179
1000	14266	374
1500	21375	550
2000	28607	738
DATA(@order=50)	BASELINE	ACCELERATOR
20	297	25
50	1156	36
100	2910	53
200	6401	87
500	16888	192
1000	34888	391
1500	52661	569
2000	70580	760
DATA(@order=100)	BASELINE	ACCELERATOR
20	498	46
50	1640	58
100	4684	78
200	11864	117
500	32756	251
1000	68490	461
1500	104213	664
2000	139640	880
DATA(@order=200)	BASELINE	ACCELERATOR
20	882	92
50	2609	106
100	6621	128
200	18646	171
500	61248	321
1000	131842	572
1500	204741	783
2000	275023	1026
DATA(@order=500)	BASELINE	ACCELERATOR
20	2042	252
50	5517	268
100	12439	294
200	30292	367
500	115270	524
1000	293716	823
1500	476101	1092
2000	654597	1379
