### fixed-point VALUES (OPTIMIZATION -O0) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	66	8
10	115	9
20	187	14
50	297	25
100	498	46
200	882	92
500	2042	252
ORDER(@data=50)	BASELINE	ACCELERATOR
5	180	16
10	337	18
20	605	25
50	1156	36
100	1640	58
200	2609	106
500	5517	268
ORDER(@data=100)	BASELINE	ACCELERATOR
5	363	31
10	693	32
20	1316	42
50	2910	53
100	4684	78
200	6621	128
500	12439	294
ORDER(@data=200)	BASELINE	ACCELERATOR
5	731	59
10	1406	61
20	2729	76
50	6401	87
100	11864	117
200	18646	171
500	30292	367
ORDER(@data=500)	BASELINE	ACCELERATOR
5	1840	145
10	3561	148
20	6958	179
50	16888	192
100	32756	251
200	61248	321
500	115270	524
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	3765	307
10	7292	313
20	14266	374
50	34888	391
100	68490	461
200	131842	572
500	293716	823
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	5603	453
10	10875	462
20	21375	550
50	52661	569
100	104213	664
200	204741	783
500	476101	1092
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	7494	609
10	14545	620
20	28607	738
50	70580	760
100	139640	880
200	275023	1026
500	654597	1379
