### floating-point VALUES (NO OPTIMIZATION) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	995	
10	1140	
20	1478	
50	2355	
100	3805	
200	6729	
500	15429	
ORDER(@data=50)	BASELINE	ACCELERATOR
5	2021	
10	2166	
20	2504	
50	3321	
100	4771	
200	7695	
500	16395	
ORDER(@data=100)	BASELINE	ACCELERATOR
5	3715	
10	3860	
20	4198	
50	4915	
100	6365	
200	9289	
500	17989	
ORDER(@data=200)	BASELINE	ACCELERATOR
5	7079	
10	7224	
20	7562	
50	8079	
100	9529	
200	12453	
500	22413	
ORDER(@data=500)	BASELINE	ACCELERATOR
5	17291	
10	17436	
20	17774	
50	17691	
100	20373	
200	23301	
500	32025	
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	36525	
10	36673	
20	36984	
50	35983	
100	37433	
200	41500	
500	50255	
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	53959	
10	54109	
20	54418	
50	52400	
100	53840	
200	56768	
500	66688	
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	72524	
10	72652	
20	73005	
50	69944	
100	71384	
200	74312	
500	84223	
### floating-point VALUES (NO OPTIMIZATION) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	2	368
10	2	427
20	2	583
50	2	972
100	2	1566
200	2	2754
500	2	6366
ORDER(@data=50)	BASELINE	ACCELERATOR
5	2	764
10	2	799
20	2	931
50	2	1320
100	2	1914
200	2	3102
500	2	6714
ORDER(@data=100)	BASELINE	ACCELERATOR
5	2	1408
10	2	1443
20	2	1575
50	2	1916
100	2	2486
200	2	3674
500	2	7286
ORDER(@data=200)	BASELINE	ACCELERATOR
5	2	2696
10	2	2779
20	2	2911
50	2	3252
100	2	3774
200	2	4842
500	2	8454
ORDER(@data=500)	BASELINE	ACCELERATOR
5	2	6608
10	2	6643
20	2	6775
50	2	7116
100	2	7638
200	2	8682
500	2	11886
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	2	13072
10	2	13155
20	2	13287
50	2	13628
100	2	14150
200	2	15194
500	2	18350
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	2	18840
10	2	18899
20	2	19031
50	2	20512
100	2	21034
200	2	22078
500	2	25234
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	2	25707
10	2	25834
20	2	25938
50	2	26256
100	2	26778
200	2	27822
500	2	30978
