### signed VALUES (OPTIMIZATION -O0) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	41	8
10	72	9
20	119	14
50	237	25
100	429	46
200	822	92
500	1980	252
ORDER(@data=50)	BASELINE	ACCELERATOR
5	103	16
10	200	18
20	368	25
50	769	36
100	1252	58
200	2220	106
500	5122	268
ORDER(@data=100)	BASELINE	ACCELERATOR
5	217	31
10	406	32
20	770	42
50	1781	53
100	3165	78
200	5099	128
500	10904	294
ORDER(@data=200)	BASELINE	ACCELERATOR
5	436	59
10	830	61
20	1584	76
50	3778	87
100	7350	117
200	12621	171
500	24241	367
ORDER(@data=500)	BASELINE	ACCELERATOR
5	1100	145
10	2088	148
20	4033	179
50	9770	192
100	19268	251
200	37233	321
500	77772	524
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	2294	307
10	4341	313
20	8378	374
50	20347	391
100	40124	461
200	77907	572
500	181634	823
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	3397	453
10	6438	462
20	12498	550
50	30642	569
100	60886	664
200	120910	783
500	289675	1092
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	4548	609
10	8623	620
20	16767	738
50	41131	760
100	81404	880
200	161266	1026
500	393564	1379
