### signed VALUES (NO OPTIMIZATION) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	5398	995
10	9471	1140
20	15646	1478
50	31266	2355
100	56443	3805
200	108036	6729
500	260220	15429
ORDER(@data=50)	BASELINE	ACCELERATOR
5	13654	2021
10	26308	2166
20	48354	2504
50	101110	3321
100	164609	4771
200	291714	7695
500	672982	16395
ORDER(@data=100)	BASELINE	ACCELERATOR
5	28639	3715
10	53467	3860
20	101210	4198
50	234020	4915
100	415849	6365
200	670076	9289
500	1432766	17989
ORDER(@data=200)	BASELINE	ACCELERATOR
5	57343	7079
10	109060	7224
20	208141	7562
50	496396	8079
100	965790	9529
200	1658331	12453
500	3185078	22413
ORDER(@data=500)	BASELINE	ACCELERATOR
5	144531	17291
10	274402	17436
20	529994	17774
50	1283761	17691
100	2531688	20373
200	4891999	23301
500	10218470	32025
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	301453	36525
10	570380	36673
20	1100866	36984
50	2673455	35983
100	5271859	37433
200	10236158	41500
500	23864748	50255
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	446439	53959
10	845965	54109
20	1642167	54418
50	4026096	52400
100	7999839	53840
200	15886300	56768
500	38060045	66688
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	597568	72524
10	1132970	72652
20	2203046	73005
50	5404183	69944
100	10695628	71384
200	21188617	74312
500	51710005	84223
### signed VALUES (NO OPTIMIZATION) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	2	368
10	2	427
20	2	583
50	2	972
100	2	1566
200	2	2754
500	2	6366
ORDER(@data=50)	BASELINE	ACCELERATOR
5	2	764
10	2	799
20	2	931
50	2	1320
100	2	1914
200	2	3102
500	2	6714
ORDER(@data=100)	BASELINE	ACCELERATOR
5	2	1408
10	2	1443
20	2	1575
50	2	1916
100	2	2486
200	2	3674
500	2	7286
ORDER(@data=200)	BASELINE	ACCELERATOR
5	2	2696
10	2	2779
20	2	2911
50	2	3252
100	2	3774
200	2	4842
500	2	8454
ORDER(@data=500)	BASELINE	ACCELERATOR
5	2	6608
10	2	6643
20	2	6775
50	2	7116
100	2	7638
200	2	8682
500	2	11886
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	2	13072
10	2	13155
20	2	13287
50	2	13628
100	2	14150
200	2	15194
500	2	18350
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	2	18840
10	2	18899
20	2	19031
50	2	20512
100	2	21034
200	2	22078
500	2	25234
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	2	25707
10	2	25834
20	2	25938
50	2	26256
100	2	26778
200	2	27822
500	2	30978
