### unsigned VALUES (OPTIMIZATION -O0) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	38	8
10	67	9
20	112	14
50	231	25
100	422	46
200	815	92
500	1974	252
ORDER(@data=50)	BASELINE	ACCELERATOR
5	95	16
10	185	18
20	342	25
50	730	36
100	1213	58
200	2181	106
500	5082	268
ORDER(@data=100)	BASELINE	ACCELERATOR
5	201	31
10	376	32
20	713	42
50	1659	53
100	3000	78
200	4935	128
500	10739	294
ORDER(@data=200)	BASELINE	ACCELERATOR
5	403	59
10	759	61
20	1465	76
50	3495	87
100	6865	117
200	11966	171
500	23584	367
ORDER(@data=500)	BASELINE	ACCELERATOR
5	1016	145
10	1921	148
20	3709	179
50	9011	192
100	17818	251
200	34649	321
500	73718	524
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	2116	307
10	3993	313
20	7719	374
50	18747	391
100	37013	461
200	72054	572
500	169490	823
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	3127	453
10	5921	462
20	11508	550
50	28234	569
100	56175	664
200	111806	783
500	269304	1092
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	4192	609
10	7941	620
20	15439	738
50	37893	760
100	75050	880
200	148896	1026
500	365110	1379
