### unsigned VALUES (NO OPTIMIZATION) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	5001	995
10	8814	1140
20	14769	1478
50	30426	2355
100	55557	3805
200	107165	6729
500	259490	15429
ORDER(@data=50)	BASELINE	ACCELERATOR
5	12597	2021
10	24402	2166
20	45039	2504
50	95968	3321
100	159430	4771
200	286559	7695
500	667808	16395
ORDER(@data=100)	BASELINE	ACCELERATOR
5	26482	3715
10	49487	3860
20	93774	4198
50	217982	4915
100	394291	6365
200	648519	9289
500	1411110	17989
ORDER(@data=200)	BASELINE	ACCELERATOR
5	52987	7079
10	99762	7224
20	192575	7562
50	459235	8079
100	902074	9529
200	1572304	12453
500	3098685	22413
ORDER(@data=500)	BASELINE	ACCELERATOR
5	133542	17291
10	252522	17436
20	487399	17774
50	1184030	17691
100	2341146	20373
200	4552586	23301
500	9685761	32025
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	278056	36525
10	524717	36673
20	1014194	36984
50	2463263	35983
100	4863134	37433
200	9467201	41500
500	22269162	50255
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	410928	53959
10	778034	54109
20	1512081	54418
50	3709737	52400
100	7380767	53840
200	14690127	56768
500	35383640	66688
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	550869	72524
10	1043435	72652
20	2028641	73005
50	4978777	69944
100	9860762	71384
200	19563344	74312
500	47971466	84223
### unsigned VALUES (NO OPTIMIZATION) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	2	368
10	2	427
20	2	583
50	2	972
100	2	1566
200	2	2754
500	2	6366
ORDER(@data=50)	BASELINE	ACCELERATOR
5	2	764
10	2	799
20	2	931
50	2	1320
100	2	1914
200	2	3102
500	2	6714
ORDER(@data=100)	BASELINE	ACCELERATOR
5	2	1408
10	2	1443
20	2	1575
50	2	1916
100	2	2486
200	2	3674
500	2	7286
ORDER(@data=200)	BASELINE	ACCELERATOR
5	2	2696
10	2	2779
20	2	2911
50	2	3252
100	2	3774
200	2	4842
500	2	8454
ORDER(@data=500)	BASELINE	ACCELERATOR
5	2	6608
10	2	6643
20	2	6775
50	2	7116
100	2	7638
200	2	8682
500	2	11886
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	2	13072
10	2	13155
20	2	13287
50	2	13628
100	2	14150
200	2	15194
500	2	18350
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	2	18840
10	2	18899
20	2	19031
50	2	20512
100	2	21034
200	2	22078
500	2	25234
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	2	25707
10	2	25834
20	2	25938
50	2	26256
100	2	26778
200	2	27822
500	2	30978
