### floating-point VALUES (OPTIMIZATION -O3) ###
DATA(@order=5),BASELINE,ACCELERATOR
20,931,368
50,2102,764
100,4046,1408
200,7982,2696
500,20819,6608
1000,40306,13072
1500,60244,18840
2000,80136,25724
DATA(@order=10),BASELINE,"ACCELERATOR
"
20,1658,427
50,3948,799
100,7692,1443
200,15180,2779
500,38866,6643
1000,78651,13155
1500,117762,18899
2000,156870,25813
DATA(@order=20),BASELINE,"ACCELERATOR
"
20,5684,583
50,26115,931
100,49788,1575
200,82022,2911
500,181085,6775
1000,345814,13287
1500,526590,19031
2000,690678,25946
DATA(@order=50),BASELINE,"ACCELERATOR
"
20,12284,972
50,46744,1320
100,116974,1916
200,206454,3252
500,448561,7116
1000,850940,13628
1500,1302202,20512
2000,1703934,26256
DATA(@order=100),BASELINE,"ACCELERATOR
"
20,24431,1566
50,77917,1914
100,186231,2486
200,409396,3774
500,898809,7638
1000,1698685,14150
1500,2612718,21023
2000,3412056,26767
DATA(@order=200),BASELINE,"ACCELERATOR
"
20,47576,2754
50,141355,3102
100,313155,3674
200,698557,4842
500,1822274,8682
1000,3415692,15194
1500,5300292,22078
2000,6893005,27822
DATA(@order=500),BASELINE,"ACCELERATOR
"
20,117058,6366
50,331783,6714
100,694068,7286
200,1460059,8454
500,4136764,11886
1000,8762279,18350
1500,13261772,25234
2000,17913679,30978
