### floating-point VALUES (OPTIMIZATION -O3) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	931	368
10	1658	427
20	5684	583
50	12284	972
100	24431	1566
200	47576	2754
500	117058	6366
ORDER(@data=50)	BASELINE	ACCELERATOR
5	2102	764
10	3948	799
20	26115	931
50	46744	1320
100	77917	1914
200	141355	3102
500	331783	6714
ORDER(@data=100)	BASELINE	ACCELERATOR
5	4046	1408
10	7692	1443
20	49788	1575
50	116974	1916
100	186231	2486
200	313155	3674
500	694068	7286
ORDER(@data=200)	BASELINE	ACCELERATOR
5	7982	2696
10	15180	2779
20	82022	2911
50	206454	3252
100	409396	3774
200	698557	4842
500	1460059	8454
ORDER(@data=500)	BASELINE	ACCELERATOR
5	20819	6608
10	38866	6643
20	181085	6775
50	448561	7116
100	898809	7638
200	1822274	8682
500	4136764	11886
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	40306	13072
10	78651	13155
20	345814	13287
50	850940	13628
100	1698685	14150
200	3415692	15194
500	8762279	18350
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	60244	18840
10	117762	18899
20	526590	19031
50	1302202	20512
100	2612718	21023
200	5300292	22078
500	13261772	25234
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	80136	25724
10	156870	25813
20	690678	25946
50	1703934	26256
100	3412056	26767
200	6893005	27822
500	17913679	30978
