### floating-point VALUES (OPTIMIZATION -O3) ###
DATA(@order=5),BASELINE,ACCELERATOR
<<<<<<< HEAD
20	7	3
20	12	3
20	43	5
20	93	10
20	185	19
20	362	37
20	890	101
=======
20,7,3
50,15,6
100,30,11
200,60,22
500,158,55
1000,306,109
1500,458,158
2000,609,216
DATA(@order=10),BASELINE,"ACCELERATOR
"
20,12,3
50,30,6
100,58,12
200,115,23
500,295,56
1000,598,112
1500,896,161
2000,1193,220
DATA(@order=20),BASELINE,"ACCELERATOR
"
20,43,5
50,198,9
100,378,15
200,624,29
500,1378,68
1000,2631,134
1500,4007,192
2000,5256,262
DATA(@order=50),BASELINE,"ACCELERATOR
"
20,93,10
50,355,14
100,890,20
200,1571,35
500,3413,77
1000,6476,148
1500,9911,223
2000,12968,285
DATA(@order=100),BASELINE,"ACCELERATOR
"
20,185,19
50,593,23
100,1417,30
200,3115,46
500,6840,94
1000,12928,174
1500,19885,259
2000,25969,330
DATA(@order=200),BASELINE,"ACCELERATOR
"
20,362,38
50,1075,42
100,2383,50
200,5316,66
500,13869,119
1000,25996,209
1500,40340,304
2000,52462,384
DATA(@order=500),BASELINE,"ACCELERATOR
"
20,890,104
50,2525,109
100,5282,119
200,11112,138
500,31484,194
1000,66689,300
1500,100935,413
2000,136341,507
>>>>>>> 89ed51f6c86d9ce8f1724427c0dbbf373cf1f681
