### floating-point VALUES (OPTIMIZATION -O3) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	7	3
10	12	3
20	43	5
50	93	10
100	185	19
200	362	38
500	890	104
ORDER(@data=50)	BASELINE	ACCELERATOR
5	15	6
10	30	6
20	198	9
50	355	14
100	593	23
200	1075	42
500	2525	109
ORDER(@data=100)	BASELINE	ACCELERATOR
5	30	11
10	58	12
20	378	15
50	890	20
100	1417	30
200	2383	50
500	5282	119
ORDER(@data=200)	BASELINE	ACCELERATOR
5	60	22
10	115	23
20	624	29
50	1571	35
100	3115	46
200	5316	66
500	11112	138
ORDER(@data=500)	BASELINE	ACCELERATOR
5	158	55
10	295	56
20	1378	68
50	3413	77
100	6840	94
200	13869	119
500	31484	194
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	306	109
10	598	112
20	2631	134
50	6476	148
100	12928	174
200	25996	209
500	66689	300
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	458	158
10	896	161
20	4007	192
50	9911	223
100	19885	259
200	40340	304
500	100935	413
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	609	216
10	1193	220
20	5256	262
50	12968	285
100	25969	330
200	52462	384
500	136341	507
