### signed VALUES (OPTIMIZATION -O3) ###
DATA(@order=5),BASELINE,ACCELERATOR
20,1204,368
50,2876,764
100,5718,1408
200,11306,2696
500,29259,6608
1000,58416,13072
1500,87930,18840
2000,116310,25707
DATA(@order=10),BASELINE,"ACCELERATOR
"
20,2223,427
50,5572,799
100,11166,1443
200,23570,2779
500,58314,6643
1000,117853,13155
1500,176629,18899
2000,235427,25834
DATA(@order=20),BASELINE,"ACCELERATOR
"
20,6904,583
50,28862,931
100,55465,1575
200,94857,2911
500,213102,6775
1000,408983,13287
1500,622434,19031
2000,817541,25938
DATA(@order=50),BASELINE,"ACCELERATOR
"
20,14104,972
50,49905,1320
100,128695,1916
200,234854,3252
500,523094,7116
1000,1005222,13628
1500,1537093,20512
2000,2018387,26256
DATA(@order=100),BASELINE,"ACCELERATOR
"
20,27248,1566
50,78574,1914
100,198388,2486
200,453406,3774
500,1039475,7638
1000,1997097,14150
1500,3072329,21034
2000,4029212,26778
DATA(@order=200),BASELINE,"ACCELERATOR
"
20,52396,2754
50,136991,3102
100,314044,3674
200,743548,4842
500,2061092,8682
1000,3971898,15194
1500,6180317,22078
2000,8090380,27822
DATA(@order=500),BASELINE,"ACCELERATOR
"
20,129064,6366
50,311230,6714
100,663674,7286
200,1441549,8454
500,4415535,11886
1000,9846326,18350
1500,15153586,25234
2000,20612726,30978
