### signed VALUES (OPTIMIZATION -O3) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	9	3
50	21	6
100	43	11
200	86	22
500	222	55
1000	444	109
1500	669	158
2000	885	216
DATA(@order=10)	BASELINE	ACCELERATOR
20	16	3
50	42	6
100	84	12
200	179	23
500	443	56
1000	896	112
1500	1344	161
2000	1791	220
DATA(@order=20)	BASELINE	ACCELERATOR
20	52	5
50	219	9
100	422	15
200	721	29
500	1621	68
1000	3112	134
1500	4737	192
2000	6222	262
DATA(@order=50)	BASELINE	ACCELERATOR
20	107	10
50	379	14
100	979	20
200	1787	35
500	3981	77
1000	7650	148
1500	11698	223
2000	15361	285
DATA(@order=100)	BASELINE	ACCELERATOR
20	207	19
50	598	23
100	1509	30
200	3450	46
500	7911	94
1000	15199	174
1500	23383	259
2000	30666	330
DATA(@order=200)	BASELINE	ACCELERATOR
20	398	38
50	1042	42
100	2390	50
200	5659	66
500	15686	119
1000	30230	209
1500	47038	304
2000	61575	384
DATA(@order=500)	BASELINE	ACCELERATOR
20	982	104
50	2368	109
100	5051	119
200	10971	138
500	33606	194
1000	74940	300
1500	115333	413
2000	156883	507
