### fixed_point VALUES ###
DATA(@order=5),BASELINE,ACCELERATOR
20	0.052	0.045
50	0.053	0.046
100	0.053	0.049
200	0.053	0.049
500	0.053	0.049
1000	0.053	0.047
1500	0.053	0.048
2000	0.053	0.048
DATA(@order=10)	BASELINE	ACCELERATOR
20	0.053	0.046
50	0.054	0.049
100	0.054	0.05
200	0.054	0.051
500	0.054	0.051
1000	0.054	0.05
1500	0.054	0.051
2000	0.054	0.051
DATA(@order=20)	BASELINE	ACCELERATOR
20	0.059	0.046
50	0.059	0.05
100	0.06	0.052
200	0.06	0.054
500	0.06	0.054
1000	0.06	0.053
1500	0.06	0.054
2000	0.06	0.054
DATA(@order=50)	BASELINE	ACCELERATOR
20	0.069	0.05
50	0.07	0.058
100	0.071	0.063
200	0.071	0.067
500	0.071	0.069
1000	0.071	0.07
1500	0.071	0.071
2000	0.071	0.071
DATA(@order=100)	BASELINE	ACCELERATOR
20	0.092	0.056
50	0.093	0.062
100	0.094	0.072
200	0.094	0.081
500	0.094	0.091
1000	0.094	0.094
1500	0.094	0.095
2000	0.094	0.096
DATA(@order=200)	BASELINE	ACCELERATOR
20	0.126	0.068
50	0.129	0.072
100	0.13	0.082
200	0.13	0.102
500	0.13	0.129
1000	0.13	0.141
1500	0.13	0.145
2000	0.13	0.148
