### fixed_point VALUES ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	0.052	0.045
10	0.053	0.046
20	0.059	0.046
50	0.069	0.05
100	0.092	0.056
200	0.126	0.068
ORDER(@data=50)	BASELINE	ACCELERATOR
5	0.053	0.046
10	0.054	0.049
20	0.059	0.05
50	0.07	0.058
100	0.093	0.062
200	0.129	0.072
ORDER(@data=100)	BASELINE	ACCELERATOR
5	0.053	0.049
10	0.054	0.05
20	0.06	0.052
50	0.071	0.063
100	0.094	0.072
200	0.13	0.082
ORDER(@data=200)	BASELINE	ACCELERATOR
5	0.053	0.049
10	0.054	0.051
20	0.06	0.054
50	0.071	0.067
100	0.094	0.081
200	0.13	0.102
ORDER(@data=500)	BASELINE	ACCELERATOR
5	0.053	0.049
10	0.054	0.051
20	0.06	0.054
50	0.071	0.069
100	0.094	0.091
200	0.13	0.129
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	0.053	0.047
10	0.054	0.05
20	0.06	0.053
50	0.071	0.07
100	0.094	0.094
200	0.13	0.141
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	0.053	0.048
10	0.054	0.051
20	0.06	0.054
50	0.071	0.071
100	0.094	0.095
200	0.13	0.145
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	0.053	0.048
10	0.054	0.051
20	0.06	0.054
50	0.071	0.071
100	0.094	0.096
200	0.13	0.148
