### signed VALUES ###
DATA(@order=5),BASELINE,ACCELERATOR
20	0.022	0.044
50	0.021	0.042
100	0.021	0.043
200	0.022	0.047
500	0.022	0.045
1000	0.022	0.048
1500	0.022	0.048
2000	0.019	0.044
DATA(@order=10)	BASELINE	ACCELERATOR
20	0.025	0.044
50	0.024	0.044
100	0.024	0.045
200	0.024	0.048
500	0.024	0.048
1000	0.024	0.05
1500	0.024	0.05
2000	0.024	0.045
DATA(@order=20)	BASELINE	ACCELERATOR
20	0.03	0.045
50	0.03	0.046
100	0.029	0.048
200	0.029	0.05
500	0.029	0.051
1000	0.029	0.053
1500	0.029	0.053
2000	0.029	0.048
DATA(@order=50)	BASELINE	ACCELERATOR
20	0.036	0.049
50	0.036	0.053
100	0.036	0.057
200	0.036	0.062
500	0.036	0.066
1000	0.036	0.068
1500	0.036	0.069
2000	0.036	0.061
DATA(@order=100)	BASELINE	ACCELERATOR
20	0.053	0.057
50	0.053	0.06
100	0.053	0.068
200	0.053	0.078
500	0.053	0.088
1000	0.053	0.093
1500	0.053	0.095
2000	0.053	0.082
DATA(@order=200)	BASELINE	ACCELERATOR
20	0.077	0.068
50	0.077	0.071
100	0.077	0.078
200	0.077	0.096
500	0.077	0.122
1000	0.077	0.137
1500	0.077	0.142
2000	0.077	0.124
