### signed VALUES ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	0.022	0.044
10	0.025	0.044
20	0.03	0.045
50	0.036	0.049
100	0.053	0.057
200	0.077	0.068
ORDER(@data=50)	BASELINE	ACCELERATOR
5	0.021	0.042
10	0.024	0.044
20	0.03	0.046
50	0.036	0.053
100	0.053	0.06
200	0.077	0.071
ORDER(@data=100)	BASELINE	ACCELERATOR
5	0.021	0.043
10	0.024	0.045
20	0.029	0.048
50	0.036	0.057
100	0.053	0.068
200	0.077	0.078
ORDER(@data=200)	BASELINE	ACCELERATOR
5	0.022	0.047
10	0.024	0.048
20	0.029	0.05
50	0.036	0.062
100	0.053	0.078
200	0.077	0.096
ORDER(@data=500)	BASELINE	ACCELERATOR
5	0.022	0.045
10	0.024	0.048
20	0.029	0.051
50	0.036	0.066
100	0.053	0.088
200	0.077	0.122
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	0.022	0.048
10	0.024	0.05
20	0.029	0.053
50	0.036	0.068
100	0.053	0.093
200	0.077	0.137
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	0.022	0.048
10	0.024	0.05
20	0.029	0.053
50	0.036	0.069
100	0.053	0.095
200	0.077	0.142
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	0.019	0.044
10	0.024	0.045
20	0.029	0.048
50	0.036	0.061
100	0.053	0.082
200	0.077	0.124
