### unsigned VALUES ###
DATA(@order=5),BASELINE,ACCELERATOR
20	0.02	0.035
50	0.02	0.035
100	0.02	0.035
200	0.02	0.035
500	0.02	0.036
1000	0.02	0.036
1500	0.02	0.036
2000	0.02	0.035
DATA(@order=10)	BASELINE	ACCELERATOR
20	0.021	0.034
50	0.02	0.035
100	0.02	0.035
200	0.02	0.036
500	0.02	0.037
1000	0.02	0.036
1500	0.02	0.036
2000	0.02	0.036
DATA(@order=20)	BASELINE	ACCELERATOR
20	0.023	0.03
50	0.023	0.031
100	0.023	0.032
200	0.023	0.032
500	0.023	0.034
1000	0.023	0.033
1500	0.023	0.032
2000	0.023	0.033
DATA(@order=50)	BASELINE	ACCELERATOR
20	0.03	0.032
50	0.03	0.034
100	0.029	0.036
200	0.029	0.037
500	0.029	0.038
1000	0.029	0.038
1500	0.029	0.038
2000	0.029	0.038
DATA(@order=100)	BASELINE	ACCELERATOR
20	0.042	0.037
50	0.042	0.039
100	0.041	0.042
200	0.041	0.045
500	0.041	0.048
1000	0.041	0.048
1500	0.041	0.049
2000	0.041	0.049
DATA(@order=200)	BASELINE	ACCELERATOR
20	0.063	0.047
50	0.063	0.048
100	0.063	0.051
200	0.063	0.056
500	0.063	0.063
1000	0.063	0.066
1500	0.063	0.067
2000	0.063	0.068
