### unsigned VALUES ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	0.02	0.035
10	0.021	0.034
20	0.023	0.03
50	0.03	0.032
100	0.042	0.037
200	0.063	0.047
ORDER(@data=50)	BASELINE	ACCELERATOR
5	0.02	0.035
10	0.02	0.035
20	0.023	0.031
50	0.03	0.034
100	0.042	0.039
200	0.063	0.048
ORDER(@data=100)	BASELINE	ACCELERATOR
5	0.02	0.035
10	0.02	0.035
20	0.023	0.032
50	0.029	0.036
100	0.041	0.042
200	0.063	0.051
ORDER(@data=200)	BASELINE	ACCELERATOR
5	0.02	0.035
10	0.02	0.036
20	0.023	0.032
50	0.029	0.037
100	0.041	0.045
200	0.063	0.056
ORDER(@data=500)	BASELINE	ACCELERATOR
5	0.02	0.036
10	0.02	0.037
20	0.023	0.034
50	0.029	0.038
100	0.041	0.048
200	0.063	0.063
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	0.02	0.036
10	0.02	0.036
20	0.023	0.033
50	0.029	0.038
100	0.041	0.048
200	0.063	0.066
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	0.02	0.036
10	0.02	0.036
20	0.023	0.032
50	0.029	0.038
100	0.041	0.049
200	0.063	0.067
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	0.02	0.035
10	0.02	0.036
20	0.023	0.033
50	0.029	0.038
100	0.041	0.049
200	0.063	0.068
