### fixed-point VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	8722	995
50	23728	2021
100	47796	3715
200	96047	7079
500	241824	17291
1000	494743	36525
1500	736234	53959
2000	984650	72524
DATA(@order=10)	BASELINE	ACCELERATOR
20	15200	1140
50	44314	2166
100	91149	3860
200	184804	7224
500	467915	17436
1000	958158	36673
1500	1428868	54109
2000	1911161	72652
DATA(@order=20)	BASELINE	ACCELERATOR
20	24681	1478
50	79533	2504
100	172944	4198
200	358660	7562
500	914276	17774
1000	1874507	36984
1500	2808472	54418
2000	3758675	73005
DATA(@order=50)	BASELINE	ACCELERATOR
20	39092	2355
50	151963	3321
100	382429	4915
200	841139	8079
500	2218979	17691
1000	4583988	35983
1500	6919181	52400
2000	9273519	69944
DATA(@order=100)	BASELINE	ACCELERATOR
20	65462	3805
50	215557	4771
100	615468	6365
200	1558879	9529
500	4303839	20373
1000	8998889	37433
1500	13692501	53840
2000	18347196	71384
DATA(@order=200)	BASELINE	ACCELERATOR
20	115923	6729
50	342845	7695
100	870051	9289
200	2449888	12453
500	8047407	23301
1000	17322568	41500
1500	26900760	56768
2000	36135022	74312
DATA(@order=500)	BASELINE	ACCELERATOR
20	268425	15429
50	724936	16395
100	1634399	17989
200	3980079	22413
500	15145203	32025
1000	38591038	50255
1500	62554391	66688
2000	86006711	84223
