### fixed-point VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	66	8
50	180	16
100	363	30
200	731	57
500	1840	141
1000	3765	298
1500	5603	441
2000	7494	592
DATA(@order=10)	BASELINE	ACCELERATOR
20	115	10
50	337	19
100	693	34
200	1406	64
500	3561	155
1000	7292	326
1500	10875	481
2000	14545	646
DATA(@order=20)	BASELINE	ACCELERATOR
20	187	14
50	605	24
100	1316	41
200	2729	74
500	6958	175
1000	14266	364
1500	21375	536
2000	28607	720
DATA(@order=50)	BASELINE	ACCELERATOR
20	297	25
50	1156	36
100	2910	54
200	6401	89
500	16888	195
1000	34888	397
1500	52661	578
2000	70580	771
DATA(@order=100)	BASELINE	ACCELERATOR
20	498	46
50	1640	58
100	4684	78
200	11864	116
500	32756	249
1000	68490	459
1500	104213	660
2000	139640	875
DATA(@order=200)	BASELINE	ACCELERATOR
20	882	92
50	2609	105
100	6621	127
200	18646	170
500	61248	318
1000	131842	567
1500	204741	776
2000	275023	1016
DATA(@order=500)	BASELINE	ACCELERATOR
20	2042	247
50	5517	262
100	12439	288
200	30292	359
500	115270	512
1000	293716	804
1500	476101	1068
2000	654597	1349
