### fixed-point VALUES (OPTIMIZATION -O0) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	66	8
10	115	10
20	187	14
50	297	25
100	498	46
200	882	92
500	2042	247
ORDER(@data=50)	BASELINE	ACCELERATOR
5	180	16
10	337	19
20	605	24
50	1156	36
100	1640	58
200	2609	105
500	5517	262
ORDER(@data=100)	BASELINE	ACCELERATOR
5	363	30
10	693	34
20	1316	41
50	2910	54
100	4684	78
200	6621	127
500	12439	288
ORDER(@data=200)	BASELINE	ACCELERATOR
5	731	57
10	1406	64
20	2729	74
50	6401	89
100	11864	116
200	18646	170
500	30292	359
ORDER(@data=500)	BASELINE	ACCELERATOR
5	1840	141
10	3561	155
20	6958	175
50	16888	195
100	32756	249
200	61248	318
500	115270	512
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	3765	298
10	7292	326
20	14266	364
50	34888	397
100	68490	459
200	131842	567
500	293716	804
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	5603	441
10	10875	481
20	21375	536
50	52661	578
100	104213	660
200	204741	776
500	476101	1068
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	7494	592
10	14545	646
20	28607	720
50	70580	771
100	139640	875
200	275023	1016
500	654597	1349
