### floating-point VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	5488	995
50	13894	2021
100	29119	3715
200	58352	7079
500	148203	17291
1000	306362	36525
1500	453859	53959
2000	607446	72524
DATA(@order=10)	BASELINE	ACCELERATOR
20	9626	1140
50	26762	2166
100	54420	3860
200	111020	7224
500	279347	17436
1000	580141	36672
1500	860757	54096
2000	1153720	72637
DATA(@order=20)	BASELINE	ACCELERATOR
20	15856	1478
50	49161	2504
100	104161	4198
200	213088	7562
500	539585	17774
1000	1121170	36984
1500	1673535	54418
2000	2244081	73005
DATA(@order=50)	BASELINE	ACCELERATOR
20	31433	2355
50	102330	3321
100	237724	4915
200	506207	8079
500	1309334	17691
1000	2722640	35987
1500	4101727	52397
2000	5504508	69955
DATA(@order=100)	BASELINE	ACCELERATOR
20	56653	3805
50	165944	4771
100	422188	6365
200	982110	9529
500	2580321	20377
1000	5371094	37437
1500	8151590	53851
2000	10899669	71405
DATA(@order=200)	BASELINE	ACCELERATOR
20	108179	6729
50	293022	7695
100	676280	9289
200	1679633	12453
500	4976623	23285
1000	10424493	41491
1500	16179529	56759
2000	21586392	74317
DATA(@order=500)	BASELINE	ACCELERATOR
20	260360	15429
50	675440	16395
100	1438878	17989
200	3206050	22371
500	10351886	31983
1000	24260394	50235
1500	38712081	66673
2000	52623670	84204
