### floating-point VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	41	8
50	105	16
100	221	30
200	444	57
500	1127	141
1000	2331	298
1500	3454	441
2000	4623	592
DATA(@order=10)	BASELINE	ACCELERATOR
20	73	10
50	203	19
100	414	34
200	844	64
500	2126	155
1000	4415	326
1500	6551	481
2000	8780	646
DATA(@order=20)	BASELINE	ACCELERATOR
20	120	14
50	374	24
100	792	41
200	1621	74
500	4106	175
1000	8533	364
1500	12737	536
2000	17079	720
DATA(@order=50)	BASELINE	ACCELERATOR
20	239	25
50	778	36
100	1809	54
200	3852	89
500	9965	195
1000	20722	397
1500	31218	578
2000	41894	771
DATA(@order=100)	BASELINE	ACCELERATOR
20	431	46
50	1262	58
100	3213	78
200	7474	116
500	19638	249
1000	40879	459
1500	62041	660
2000	82957	875
DATA(@order=200)	BASELINE	ACCELERATOR
20	823	92
50	2230	105
100	5147	127
200	12783	170
500	37877	318
1000	79340	567
1500	123142	776
2000	164294	1016
DATA(@order=500)	BASELINE	ACCELERATOR
20	1981	247
50	5140	262
100	10951	288
200	24401	358
500	78788	512
1000	184645	804
1500	294637	1067
2000	400518	1348
