### floating-point VALUES (OPTIMIZATION -O0) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	41	8
10	73	10
20	120	14
50	239	25
100	431	46
200	823	92
500	1981	247
ORDER(@data=50)	BASELINE	ACCELERATOR
5	105	16
10	203	19
20	374	24
50	778	36
100	1262	58
200	2230	105
500	5140	262
ORDER(@data=100)	BASELINE	ACCELERATOR
5	221	30
10	414	34
20	792	41
50	1809	54
100	3213	78
200	5147	127
500	10951	288
ORDER(@data=200)	BASELINE	ACCELERATOR
5	444	57
10	844	64
20	1621	74
50	3852	89
100	7474	116
200	12783	170
500	24401	358
ORDER(@data=500)	BASELINE	ACCELERATOR
5	1127	141
10	2126	155
20	4106	175
50	9965	195
100	19638	249
200	37877	318
500	78788	512
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	2331	298
10	4415	326
20	8533	364
50	20722	397
100	40879	459
200	79340	567
500	184645	804
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	3454	441
10	6551	481
20	12737	536
50	31218	578
100	62041	660
200	123142	776
500	294637	1067
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	4623	592
10	8780	646
20	17079	720
50	41894	771
100	82957	875
200	164294	1016
500	400518	1348
