### signed VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	5398	995
50	13654	2021
100	28639	3715
200	57343	7079
500	144531	17291
1000	301453	36525
1500	446439	53959
2000	597568	72524
DATA(@order=10)	BASELINE	ACCELERATOR
20	9471	1140
50	26308	2166
100	53467	3860
200	109060	7224
500	274402	17436
1000	570380	36673
1500	845965	54109
2000	1132970	72652
DATA(@order=20)	BASELINE	ACCELERATOR
20	15646	1478
50	48354	2504
100	101210	4198
200	208141	7562
500	529994	17774
1000	1100866	36984
1500	1642167	54418
2000	2203046	73005
DATA(@order=50)	BASELINE	ACCELERATOR
20	31266	2355
50	101110	3321
100	234020	4915
200	496396	8079
500	1283761	17691
1000	2673455	35983
1500	4026096	52400
2000	5404183	69944
DATA(@order=100)	BASELINE	ACCELERATOR
20	56443	3805
50	164609	4771
100	415849	6365
200	965790	9529
500	2531688	20373
1000	5271859	37433
1500	7999839	53840
2000	10695628	71384
DATA(@order=200)	BASELINE	ACCELERATOR
20	108036	6729
50	291714	7695
100	670076	9289
200	1658331	12453
500	4891999	23301
1000	10236158	41500
1500	15886300	56768
2000	21188617	74312
DATA(@order=500)	BASELINE	ACCELERATOR
20	260220	15429
50	672982	16395
100	1432766	17989
200	3185078	22413
500	10218470	32025
1000	23864748	50255
1500	38060045	66688
2000	51710005	84223
