### signed VALUES (OPTIMIZATION -O0) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	5398	995
10	9471	1140
20	15646	1478
50	31266	2355
100	56443	3805
200	108036	6729
500	260220	15429
ORDER(@data=50)	BASELINE	ACCELERATOR
5	13654	2021
10	26308	2166
20	48354	2504
50	101110	3321
100	164609	4771
200	291714	7695
500	672982	16395
ORDER(@data=100)	BASELINE	ACCELERATOR
5	28639	3715
10	53467	3860
20	101210	4198
50	234020	4915
100	415849	6365
200	670076	9289
500	1432766	17989
ORDER(@data=200)	BASELINE	ACCELERATOR
5	57343	7079
10	109060	7224
20	208141	7562
50	496396	8079
100	965790	9529
200	1658331	12453
500	3185078	22413
ORDER(@data=500)	BASELINE	ACCELERATOR
5	144531	17291
10	274402	17436
20	529994	17774
50	1283761	17691
100	2531688	20373
200	4891999	23301
500	10218470	32025
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	301453	36525
10	570380	36673
20	1100866	36984
50	2673455	35983
100	5271859	37433
200	10236158	41500
500	23864748	50255
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	446439	53959
10	845965	54109
20	1642167	54418
50	4026096	52400
100	7999839	53840
200	15886300	56768
500	38060045	66688
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	597568	72524
10	1132970	72652
20	2203046	73005
50	5404183	69944
100	10695628	71384
200	21188617	74312
500	51710005	84223
