### signed VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	41	8
50	103	16
100	217	30
200	436	57
500	1100	141
1000	2294	298
1500	3397	441
2000	4548	592
DATA(@order=10)	BASELINE	ACCELERATOR
20	72	10
50	200	19
100	406	34
200	830	64
500	2088	155
1000	4341	326
1500	6438	481
2000	8623	646
DATA(@order=20)	BASELINE	ACCELERATOR
20	119	14
50	368	24
100	770	41
200	1584	74
500	4033	175
1000	8378	364
1500	12498	536
2000	16767	720
DATA(@order=50)	BASELINE	ACCELERATOR
20	237	25
50	769	36
100	1781	54
200	3778	89
500	9770	195
1000	20347	397
1500	30642	578
2000	41131	771
DATA(@order=100)	BASELINE	ACCELERATOR
20	429	46
50	1252	58
100	3165	78
200	7350	116
500	19268	249
1000	40124	459
1500	60886	660
2000	81404	875
DATA(@order=200)	BASELINE	ACCELERATOR
20	822	92
50	2220	105
100	5099	127
200	12621	170
500	37233	318
1000	77907	567
1500	120910	776
2000	161266	1016
DATA(@order=500)	BASELINE	ACCELERATOR
20	1980	247
50	5122	262
100	10904	288
200	24241	359
500	77772	512
1000	181634	804
1500	289675	1068
2000	393564	1349
