### unsigned VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	5001	995
50	12597	2021
100	26482	3715
200	52987	7079
500	133542	17291
1000	278056	36525
1500	410928	53959
2000	550869	72524
DATA(@order=10)	BASELINE	ACCELERATOR
20	8814	1140
50	24402	2166
100	49487	3860
200	99762	7224
500	252522	17436
1000	524717	36673
1500	778034	54109
2000	1043435	72652
DATA(@order=20)	BASELINE	ACCELERATOR
20	14769	1478
50	45039	2504
100	93774	4198
200	192575	7562
500	487399	17774
1000	1014194	36984
1500	1512081	54418
2000	2028641	73005
DATA(@order=50)	BASELINE	ACCELERATOR
20	30426	2355
50	95968	3321
100	217982	4915
200	459235	8079
500	1184030	17691
1000	2463263	35983
1500	3709737	52400
2000	4978777	69944
DATA(@order=100)	BASELINE	ACCELERATOR
20	55557	3805
50	159430	4771
100	394291	6365
200	902074	9529
500	2341146	20373
1000	4863134	37433
1500	7380767	53840
2000	9860762	71384
DATA(@order=200)	BASELINE	ACCELERATOR
20	107165	6729
50	286559	7695
100	648519	9289
200	1572304	12453
500	4552586	23301
1000	9467201	41500
1500	14690127	56768
2000	19563344	74312
DATA(@order=500)	BASELINE	ACCELERATOR
20	259490	15429
50	667808	16395
100	1411110	17989
200	3098685	22413
500	9685761	32025
1000	22269162	50255
1500	35383640	66688
2000	47971466	84223
