### floating-point VALUES (OPTIMIZATION -O3) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	7	3
50	15	6
100	30	11
200	60	22
500	158	54
1000	306	106
1500	458	154
2000	609	210
DATA(@order=10)	BASELINE	ACCELERATOR
20	12	3
50	30	7
100	58	12
200	115	24
500	295	59
1000	598	117
1500	896	168
2000	1193	229
DATA(@order=20)	BASELINE	ACCELERATOR
20	43	5
50	198	9
100	378	15
200	624	28
500	1378	66
1000	2631	131
1500	4007	187
2000	5256	255
DATA(@order=50)	BASELINE	ACCELERATOR
20	93	10
50	355	14
100	890	21
200	1571	35
500	3413	78
1000	6476	150
1500	9911	226
2000	12968	289
DATA(@order=100)	BASELINE	ACCELERATOR
20	185	19
50	593	23
100	1417	30
200	3115	46
500	6840	93
1000	12928	173
1500	19885	257
2000	25969	328
DATA(@order=200)	BASELINE	ACCELERATOR
20	362	37
50	1075	42
100	2383	50
200	5316	66
500	13869	118
1000	25996	207
1500	40340	301
2000	52462	380
DATA(@order=500)	BASELINE	ACCELERATOR
20	890	101
50	2525	107
100	5282	116
200	11112	135
500	31484	190
1000	66689	293
1500	100935	404
2000	136341	496
