### signed VALUES (OPTIMIZATION -O3) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	9	3
10	16	3
20	52	5
50	107	10
100	207	19
200	398	37
500	982	101
ORDER(@data=50)	BASELINE	ACCELERATOR
5	21	6
10	42	7
20	219	9
50	379	14
100	598	23
200	1042	42
500	2368	107
ORDER(@data=100)	BASELINE	ACCELERATOR
5	43	11
10	84	12
20	422	15
50	979	21
100	1509	30
200	2390	50
500	5051	116
ORDER(@data=200)	BASELINE	ACCELERATOR
5	86	22
10	179	24
20	721	28
50	1787	35
100	3450	46
200	5659	66
500	10971	135
ORDER(@data=500)	BASELINE	ACCELERATOR
5	222	54
10	443	59
20	1621	66
50	3981	78
100	7911	93
200	15686	118
500	33606	190
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	444	106
10	896	117
20	3112	131
50	7650	150
100	15199	173
200	30230	207
500	74940	293
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	669	154
10	1344	168
20	4737	187
50	11698	226
100	23383	257
200	47038	301
500	115333	404
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	885	210
10	1791	229
20	6222	255
50	15361	289
100	30666	328
200	61575	380
500	156883	496
