### unsigned VALUES (OPTIMIZATION -O3) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	9	3
50	23	6
100	46	11
200	92	22
500	238	54
1000	476	106
1500	716	154
2000	947	210
DATA(@order=10)	BASELINE	ACCELERATOR
20	18	3
50	45	7
100	90	12
200	192	24
500	475	59
1000	960	117
1500	1439	168
2000	1918	229
DATA(@order=20)	BASELINE	ACCELERATOR
20	56	5
50	235	9
100	451	15
200	772	28
500	1736	66
1000	3332	131
1500	5072	187
2000	6662	255
DATA(@order=50)	BASELINE	ACCELERATOR
20	114	10
50	406	14
100	1048	21
200	1913	35
500	4262	78
1000	8191	150
1500	12525	226
2000	16447	289
DATA(@order=100)	BASELINE	ACCELERATOR
20	222	19
50	640	23
100	1616	30
200	3694	46
500	8470	93
1000	16274	173
1500	25036	257
2000	32834	328
DATA(@order=200)	BASELINE	ACCELERATOR
20	426	37
50	1116	42
100	2559	50
200	6059	66
500	16795	118
1000	32366	207
1500	50363	301
2000	65928	380
DATA(@order=500)	BASELINE	ACCELERATOR
20	1051	101
50	2536	107
100	5408	116
200	11747	135
500	35982	190
1000	80237	293
1500	123486	404
2000	167973	496
