### unsigned VALUES (OPTIMIZATION -O3) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	9	3
10	18	3
20	56	5
50	114	10
100	222	19
200	426	37
500	1051	101
ORDER(@data=50)	BASELINE	ACCELERATOR
5	23	6
10	45	7
20	235	9
50	406	14
100	640	23
200	1116	42
500	2536	107
ORDER(@data=100)	BASELINE	ACCELERATOR
5	46	11
10	90	12
20	451	15
50	1048	21
100	1616	30
200	2559	50
500	5408	116
ORDER(@data=200)	BASELINE	ACCELERATOR
5	92	22
10	192	24
20	772	28
50	1913	35
100	3694	46
200	6059	66
500	11747	135
ORDER(@data=500)	BASELINE	ACCELERATOR
5	238	54
10	475	59
20	1736	66
50	4262	78
100	8470	93
200	16795	118
500	35982	190
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	476	106
10	960	117
20	3332	131
50	8191	150
100	16274	173
200	32366	207
500	80237	293
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	716	154
10	1439	168
20	5072	187
50	12525	226
100	25036	257
200	50363	301
500	123486	404
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	947	210
10	1918	229
20	6662	255
50	16447	289
100	32834	328
200	65928	380
500	167973	496
